!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021_Public_3.18.24.xlsm
swp_3_tablea
contractor       percent          TableA
                1              100            49.74
                2              100            20.88
                3              100            25.68
                4              100            99.03
                5              100            12.70
                6              100            40.68
                7              100             4.80
                8              100            69.18
                9              100            27.50
               10              100             9.31
               11              100             2.90
               12              100            27.88
               13              100            36.57
               14              100             2.43
               15              100           134.60
               16              100           440.40
               17              100           119.36
               18              100            62.82
               19              100            79.58
               20              100             2.30
               21              100           192.10
               22              100           141.57
               23              100           317.39
               24              100           763.12
               25              100           297.33
               26              100            51.35
               27              100            17.48
               28              100             2.94
               29              100            11.78
               30              100            90.18
               31              100            28.80
               32              100            11.31
               33              100            12.50
               34              100            28.73
               35              100            63.63
               36              100            23.88
               37              100            87.47
               38              100             7.45
               39              100            12.55
                1               60            49.74
                2               60            20.88
                3               60            25.68
                4               60            99.03
                5               60            12.70
                6               60            40.68
                7               60             4.80
                8               60            69.18
                9               60            27.50
               10               60             9.31
               11               60             2.90
               12               60            27.88
               13               60            36.57
               14               60             2.43
               15               60           134.60
               16               60           440.40
               17               60           119.36
               18               60            62.82
               19               60            79.58
               20               60             2.30
               21               60           192.10
               22               60           141.57
               23               60           317.39
               24               60           763.12
               25               60           297.33
               26               60            51.35
               27               60            17.48
               28               60             2.94
               29               60            11.78
               30               60            90.18
               31               60            28.80
               32               60            11.31
               33               60            12.50
               34               60            28.73
               35               60            63.63
               36               60            23.88
               37               60            87.47
               38               60             7.45
               39               60            12.55
                1               50            49.74
                2               50            20.88
                3               50            25.68
                4               50            99.03
                5               50            12.70
                6               50            40.68
                7               50             4.80
                8               50            69.18
                9               50            27.50
               10               50             9.31
               11               50             2.90
               12               50            27.88
               13               50            36.57
               14               50             2.43
               15               50           134.60
               16               50           440.40
               17               50           119.36
               18               50            62.82
               19               50            79.58
               20               50             2.30
               21               50           192.10
               22               50           141.57
               23               50           317.39
               24               50           763.12
               25               50           297.33
               26               50            51.35
               27               50            17.48
               28               50             2.94
               29               50            11.78
               30               50            90.18
               31               50            28.80
               32               50            11.31
               33               50            12.50
               34               50            28.73
               35               50            63.63
               36               50            23.88
               37               50            87.47
               38               50             7.45
               39               50            12.55
                1               30            49.74
                2               30            20.88
                3               30            25.68
                4               30            99.03
                5               30            12.70
                6               30            40.68
                7               30             4.80
                8               30            69.18
                9               30            27.50
               10               30             9.31
               11               30             2.90
               12               30            27.88
               13               30            36.57
               14               30             2.43
               15               30           134.60
               16               30           440.40
               17               30           119.36
               18               30            62.82
               19               30            79.58
               20               30             2.30
               21               30           192.10
               22               30           141.57
               23               30           317.39
               24               30           763.12
               25               30           297.33
               26               30            51.35
               27               30            17.48
               28               30             2.94
               29               30            11.78
               30               30            90.18
               31               30            28.80
               32               30            11.31
               33               30            12.50
               34               30            28.73
               35               30            63.63
               36               30            23.88
               37               30            87.47
               38               30             7.45
               39               30            12.55
