!																			
!	Required	Carryover	Storage	at	New	Bullards	Bar	Reservoir											
!	The	carry-over	storage	values	were	obtained	from	the	output	of									
!	the	Excel	Model	YRDPLA	Simulation	Model													
!	Level	of	drought	protection	is	0.111111111	yrs	for	all	but	1644	Interim	and	"1965,"	which	are	1	in	200
!	Level	of	Demand	used	is	existing													
!	Values	in	TAF																
!	FlowStandards																		
!1	=	1965	Agreement																
!2	=	Interim	1644																
!3	=	Longterm	1644																
!4	=	Settlement																	
YUBA_carryover																			
Standard	carryover_req	wateryear								sourceyear									
1	497	1921								1921									
1	497	1922								1922									
1	497	1923								1923									
1	311	1924								1924									
1	497	1925								1925									
1	497	1926								1926									
1	497	1927								1927									
1	497	1928								1928									
1	497	1929								1929									
1	497	1930								1930									
1	311	1931								1931									
1	497	1932								1932									
1	497	1933								1933									
1	311	1934								1934									
1	497	1935								1935									
1	497	1936								1936									
1	497	1937								1937									
1	497	1938								1938									
1	464	1939								1939									
1	497	1940								1940									
1	497	1941								1941									
1	497	1942								1942									
1	497	1943								1943									
1	497	1944								1944									
1	497	1945								1945									
1	497	1946								1946									
1	497	1947								1947									
1	497	1948								1948									
1	497	1949								1949									
1	497	1950								1950									
1	497	1951								1951									
1	497	1952								1952									
1	497	1953								1953									
1	497	1954								1954									
1	497	1955								1955									
1	497	1956								1956									
1	497	1957								1957									
1	497	1958								1958									
1	497	1959								1959									
1	497	1960								1960									
1	497	1961								1961									
1	497	1962								1962									
1	497	1963								1963									
1	497	1964								1964									
1	497	1965								1965									
1	497	1966								1966									
1	497	1967								1967									
1	497	1968								1968									
1	497	1969								1969									
1	497	1970								1970									
1	497	1971								1971									
1	497	1972								1972									
1	497	1973								1973									
1	497	1974								1974									
1	497	1975								1975									
1	398	1976								1976									
1	311	1977								1977									
1	497	1978								1978									
1	497	1979								1979									
1	497	1980								1980									
1	497	1981								1981									
1	497	1982								1982									
1	497	1983								1983									
1	497	1984								1984									
1	497	1985								1985									
1	497	1986								1986									
1	443	1987								1987									
1	311	1988								1988									
1	497	1989								1989									
1	497	1990								1990									
1	378	1991								1991									
1	311	1992								1992									
1	497	1993								1993									
1	443	1994								1994									
1	497	1995								1995									
1	497	1996								1996									
1	497	1997								1997									
1	497	1998								1998									
1	497	1999								1999									
1	497	2000								2000									
1	473	2001								2001									
1	497	2002								2002									
1	497	2003								2003									
1	497	2004								2004									
1	497	2005								2005									
1	497	2006								2006									
1	493	2007								2007									
1	493	2008								2008									
1	497	2009								2009									
1	497	2010								1923									
1	497	2011								1970									
1	497	2012								1937									
1	497	2013								1961									
1	497	2014								1990
1	497	2015								1990
2	440	1921								1921									
2	440	1922								1922									
2	440	1923								1923									
2	400	1924								1924									
2	400	1925								1925									
2	400	1926								1926									
2	440	1927								1927									
2	440	1928								1928									
2	440	1929								1929									
2	440	1930								1930									
2	400	1931								1931									
2	400	1932								1932									
2	400	1933								1933									
2	400	1934								1934									
2	400	1935								1935									
2	440	1936								1936									
2	440	1937								1937									
2	440	1938								1938									
2	440	1939								1939									
2	440	1940								1940									
2	440	1941								1941									
2	440	1942								1942									
2	440	1943								1943									
2	440	1944								1944									
2	440	1945								1945									
2	440	1946								1946									
2	440	1947								1947									
2	440	1948								1948									
2	440	1949								1949									
2	440	1950								1950									
2	440	1951								1951									
2	440	1952								1952									
2	440	1953								1953									
2	440	1954								1954									
2	440	1955								1955									
2	440	1956								1956									
2	440	1957								1957									
2	440	1958								1958									
2	440	1959								1959									
2	440	1960								1960									
2	400	1961								1961									
2	400	1962								1962									
2	440	1963								1963									
2	440	1964								1964									
2	440	1965								1965									
2	440	1966								1966									
2	440	1967								1967									
2	440	1968								1968									
2	440	1969								1969									
2	440	1970								1970									
2	440	1971								1971									
2	440	1972								1972									
2	440	1973								1973									
2	440	1974								1974									
2	440	1975								1975									
2	400	1976								1976									
2	400	1977								1977									
2	400	1978								1978									
2	400	1979								1979									
2	400	1980								1980									
2	440	1981								1981									
2	440	1982								1982									
2	440	1983								1983									
2	440	1984								1984									
2	440	1985								1985									
2	440	1986								1986									
2	440	1987								1987									
2	400	1988								1988									
2	400	1989								1989									
2	400	1990								1990									
2	400	1991								1991									
2	400	1992								1992									
2	400	1993								1993									
2	400	1994								1994									
2	440	1995								1995									
2	440	1996								1996									
2	440	1997								1997									
2	440	1998								1998									
2	440	1999								1999									
2	440	2000								2000									
2	440	2001								2001									
2	400	2002								2002									
2	400	2003								2003									
2	400	2004								2004									
2	440	2005								2005									
2	440	2006								2006									
2	440	2007								2007									
2	400	2008								2008									
2	400	2009								2009									
2	400	2010								1923									
2	440	2011								1970									
2	440	2012								1937									
2	440	2013								1961									
2	400	2014								1990
2	400	2015								1990
2	400	2016								9999
2	440	2017								9999
2	440	2018								9999
2	440	2019								9999
2	440	2020								9999
2	400	2021								9999
3	440	1921								1921									
3	440	1922								1922									
3	440	1923								1923									
3	400	1924								1924									
3	400	1925								1925									
3	400	1926								1926									
3	440	1927								1927									
3	440	1928								1928									
3	440	1929								1929									
3	440	1930								1930									
3	400	1931								1931									
3	400	1932								1932									
3	400	1933								1933									
3	400	1934								1934									
3	400	1935								1935									
3	440	1936								1936									
3	440	1937								1937									
3	440	1938								1938									
3	440	1939								1939									
3	440	1940								1940									
3	440	1941								1941									
3	440	1942								1942									
3	440	1943								1943									
3	440	1944								1944									
3	440	1945								1945									
3	440	1946								1946									
3	440	1947								1947									
3	440	1948								1948									
3	440	1949								1949									
3	440	1950								1950									
3	440	1951								1951									
3	440	1952								1952									
3	440	1953								1953									
3	440	1954								1954									
3	440	1955								1955									
3	440	1956								1956									
3	440	1957								1957									
3	440	1958								1958									
3	440	1959								1959									
3	440	1960								1960									
3	400	1961								1961									
3	400	1962								1962									
3	440	1963								1963									
3	440	1964								1964									
3	440	1965								1965									
3	440	1966								1966									
3	440	1967								1967									
3	440	1968								1968									
3	440	1969								1969									
3	440	1970								1970									
3	440	1971								1971									
3	440	1972								1972									
3	440	1973								1973									
3	440	1974								1974									
3	440	1975								1975									
3	400	1976								1976									
3	400	1977								1977									
3	400	1978								1978									
3	400	1979								1979									
3	400	1980								1980									
3	440	1981								1981									
3	440	1982								1982									
3	440	1983								1983									
3	440	1984								1984									
3	440	1985								1985									
3	440	1986								1986									
3	440	1987								1987									
3	400	1988								1988									
3	400	1989								1989									
3	400	1990								1990									
3	400	1991								1991									
3	400	1992								1992									
3	400	1993								1993									
3	400	1994								1994									
3	440	1995								1995									
3	440	1996								1996									
3	440	1997								1997									
3	440	1998								1998									
3	440	1999								1999									
3	440	2000								2000									
3	440	2001								2001									
3	400	2002								2002									
3	400	2003								2003									
3	400	2004								2004									
3	440	2005								2005									
3	440	2006								2006									
3	440	2007								2007									
3	400	2008								2008									
3	400	2009								2009									
3	400	2010								1923									
3	440	2011								1970									
3	440	2012								1937									
3	440	2013								1961									
3	400	2014								1990
3	400	2015								1990
3	400	2016								9999
3	440	2017								9999
3	440	2018								9999
3	440	2019								9999
3	440	2020								9999
3	400	2021								9999
4	440	1921								1921									
4	440	1922								1922									
4	440	1923								1923									
4	400	1924								1924									
4	400	1925								1925									
4	400	1926								1926									
4	440	1927								1927									
4	440	1928								1928									
4	440	1929								1929									
4	440	1930								1930									
4	400	1931								1931									
4	400	1932								1932									
4	400	1933								1933									
4	400	1934								1934									
4	400	1935								1935									
4	440	1936								1936									
4	440	1937								1937									
4	440	1938								1938									
4	440	1939								1939									
4	440	1940								1940									
4	440	1941								1941									
4	440	1942								1942									
4	440	1943								1943									
4	440	1944								1944									
4	440	1945								1945									
4	440	1946								1946									
4	440	1947								1947									
4	440	1948								1948									
4	440	1949								1949									
4	440	1950								1950									
4	440	1951								1951									
4	440	1952								1952									
4	440	1953								1953									
4	440	1954								1954									
4	440	1955								1955									
4	440	1956								1956									
4	440	1957								1957									
4	440	1958								1958									
4	440	1959								1959									
4	440	1960								1960									
4	400	1961								1961									
4	400	1962								1962									
4	440	1963								1963									
4	440	1964								1964									
4	440	1965								1965									
4	440	1966								1966									
4	440	1967								1967									
4	440	1968								1968									
4	440	1969								1969									
4	440	1970								1970									
4	440	1971								1971									
4	440	1972								1972									
4	440	1973								1973									
4	440	1974								1974									
4	440	1975								1975									
4	400	1976								1976									
4	400	1977								1977									
4	400	1978								1978									
4	400	1979								1979									
4	400	1980								1980									
4	440	1981								1981									
4	440	1982								1982									
4	440	1983								1983									
4	440	1984								1984									
4	440	1985								1985									
4	440	1986								1986									
4	440	1987								1987									
4	400	1988								1988									
4	400	1989								1989									
4	400	1990								1990									
4	400	1991								1991									
4	400	1992								1992									
4	400	1993								1993									
4	400	1994								1994									
4	440	1995								1995									
4	440	1996								1996									
4	440	1997								1997									
4	440	1998								1998									
4	440	1999								1999									
4	440	2000								2000									
4	440	2001								2001									
4	400	2002								2002									
4	400	2003								2003									
4	400	2004								2004									
4	440	2005								2005									
4	440	2006								2006									
4	440	2007								2007									
4	400	2008								2008									
4	400	2009								2009									
4	400	2010								1923									
4	440	2011								1970									
4	440	2012								1937									
4	440	2013								1961									
4	400	2014								1990
4	400	2015								1990
4	400	2016								9999
4	440	2017								9999
4	440	2018								9999
4	440	2019								9999
4	440	2020								9999
4	400	2021								9999
