american_runoff_forecast
wateryear	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
1922	692	1201	1692	1145	525	92	19	6
1923	1333	1180	792	812	373	109	34	17
1924	356	328	278	128	59	3	1	1
1925	604	924	745	737	338	61	16	6
1926	387	536	301	184	84	7	0	0
1927	847	1235	982	956	439	78	21	9
1928	621	599	873	530	243	19	6	2
1929	422	464	430	396	182	19	1	0
1930	614	701	650	381	175	32	13	7
1931	399	434	351	158	73	7	3	2
1932	1246	1473	980	968	444	94	24	8
1933	599	545	697	419	193	36	8	4
1934	454	573	295	109	50	10	4	2
1935	785	825	1224	1289	592	80	26	11
