sacramento_runoff_forecast
wateryear	FEB	MAR	APR	MAY
1922	1776	1951	1781	1534
1923	2002	1724	1205	1114
1924	1241	1158	947	756
1925	2080	2524	1771	1495
1926	1651	1713	1049	946
1927	2576	3471	2536	1947
1928	1962	2047	1633	1331
1929	1635	1555	1182	1089
1930	1844	1460	1380	1019
1931	1349	1245	924	756
1932	1934	1631	1436	1127
1933	1690	1555	1406	1056
1934	1531	1644	956	749
1935	2274	2423	1705	1655
1936	2162	2313	1527	1221
1937	1438	1715	1501	1428
1938	2538	3699	4025	2549
1939	1743	1496	1352	942
1940	2101	2701	2274	1605
1941	2852	3348	2322	2042
1942	2829	2954	2553	2152
1943	2489	2328	1803	1359
1944	1503	1538	1359	1207
1945	1629	1753	1723	1218
1946	2321	2055	1885	1290
1947	1637	1617	1225	969
1948	1741	1622	1824	2009
1949	1490	1524	1805	1137
1950	1831	1680	1566	1104
1951	2446	2298	2148	1410
1952	3396	3462	3232	2106
1953	2092	1895	1876	1443
1954	2444	2411	1999	1372
1955	1816	1470	1452	1366
1956	2896	3162	3107	1978
1957	1819	1861	1779	1455
1958	2389	3029	3322	2544
1959	1938	2213	1672	1160
1960	1470	1486	1638	1142
1961	1629	1719	1752	1279
1962	1844	1907	2046	1324
1963	2503	2312	1982	2333
1964	2185	1864	1522	1138
1965	2495	2157	2042	1748
1966	2317	2365	1950	1154
1967	2779	2531	2634	2354
1968	2137	1923	1472	1135
1969	3015	3406	2796	2094
1970	2861	2893	2330	1833
1971	2995	2894	2900	2026
1972	1970	1865	1559	1208
1973	2216	2289	2194	1371
1974	2855	3843	3655	2360
1975	1672	2030	2465	2103
1976	1202	1337	1360	1086
1977	896	704	984	604
1978	2113	2426	2178	1769
1979	1558	1803	1429	1301
1980	2336	3078	2415	1648
1981	1745	1873	1526	1189
1982	3039	3516	3325	2384
1983	2974	3942	3530	2746
1984	1831	2242	1867	1596
1985	1906	1830	1635	1118
1986	1904	2619	2227	1599
1987	1600	1448	1552	954
1988	1959	1361	1261	963
1989	1897	1726	2016	1257
1990	1657	1498	1270	961
1991	957	888	1183	1014
1992	1325	1486	1302	996
1993	2624	2608	2243	1727
1994	1641	1844	1243	1193
1995	2474	2220	2691	1726
1996	2412	2665	2018	1674
1997	2548	2438	1736	1623
1998	2451	3871	2696	2249
1999	2202	3072	2637	1892
2000	2144	2552	2144	1561
2001	1554	1595	1557	1234
2002	2098	1916	1861	1229
2003	1693	1770	1859	1826
2004	2224	2594	1646	1301
2005	2060	1959	1571	1384
2006	2584	2673	3124	2166
2007	1678	2015	1349	1140
2008	2160	2033	1633	1143
2009	1385	1791	1850	1175
2010	2061	2142	1791	1599
2011	1931	2092	2560	1787
2012	1493	1408	1639	1330
2013	2116	1724	1402	1040
2014	746	1175	1158	959
2015	1385	1574	999	873
2016	2532	2274	1977	1256
2017	3178	3792	2309	2107
2018	1733	1744	1608	1365
2019	2000	2776	2602	1836
2020	1841	1476	1262	1052
2021	1479	1481	1190	902
