! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021_Public_3.18.24.xlsm
swp_3_tablea
contractor       percent          TableA
                1              100            49.74
                2              100            20.88
                3              100            25.68
                4              100            99.03
                5              100            12.70
                6              100            40.68
                7              100             4.80
                8              100            69.18
                9              100            27.50
               10              100             9.31
               11              100             2.90
               12              100            27.88
               13              100            36.57
               14              100             2.43
               15              100           134.60
               16              100           440.40
               17              100           119.36
               18              100            62.82
               19              100            79.58
               20              100             2.30
               21              100           192.10
               22              100           141.57
               23              100           317.39
               24              100           763.12
               25              100           297.33
               26              100            51.35
               27              100            17.48
               28              100             2.94
               29              100            11.78
               30              100            90.18
               31              100            28.80
               32              100            11.31
               33              100            12.50
               34              100            28.73
               35              100            63.63
               36              100            23.88
               37              100            87.47
               38              100             7.45
               39              100            12.55
                1               60            43.71
                2               60            28.42
                3               60            31.68
                4               60           116.83
                5               60            12.70
                6               60            70.23
                7               60             6.54
                8               60            89.93
                9               60            27.50
               10               60             9.31
               11               60             4.57
               12               60            36.24
               13               60            38.23
               14               60             2.80
               15               60           134.60
               16               60           526.19
               17               60           107.83
               18               60            56.96
               19               60            75.96
               20               60             2.30
               21               60           193.98
               22               60           191.33
               23               60           306.88
               24               60           818.68
               25               60           286.33
               26               60            65.13
               27               60            24.61
               28               60             4.35
               29               60            18.52
               30               60            90.09
               31               60            28.80
               32               60            15.57
               33               60            16.25
               34               60            34.85
               35               60            85.65
               36               60            31.95
               37               60            87.47
               38               60             7.45
               39               60            12.55
                1               50            35.07
                2               50            37.75
                3               50            34.78
                4               50           123.23
                5               50             8.64
                6               50            78.44
                7               50             8.40
                8               50           103.76
                9               50            27.50
               10               50             9.31
               11               50             5.15
               12               50            41.81
               13               50            39.12
               14               50             2.87
               15               50           134.60
               16               50           474.65
               17               50           130.74
               18               50            81.91
               19               50           107.48
               20               50             2.30
               21               50           118.58
               22               50           258.57
               23               50           259.58
               24               50           894.41
               25               50           280.37
               26               50            71.80
               27               50            27.43
               28               50             4.82
               29               50            19.16
               30               50            93.24
               31               50            28.80
               32               50            16.60
               33               50            18.75
               34               50            36.26
               35               50            90.64
               36               50            35.83
               37               50            87.47
               38               50             7.45
               39               50            12.55
                1               30            41.73
                2               30            31.98
                3               30            33.87
                4               30           129.17
                5               30             5.23
                6               30            82.50
                7               30             9.60
                8               30           103.76
                9               30            27.50
               10               30             9.31
               11               30             5.80
               12               30            44.60
               13               30            37.42
               14               30             2.80
               15               30           134.60
               16               30           471.77
               17               30           117.66
               18               30           114.12
               19               30           106.68
               20               30             2.30
               21               30            79.25
               22               30             0.00
               23               30           195.98
               24               30          1273.46
               25               30           267.57
               26               30            78.78
               27               30            23.72
               28               30             5.07
               29               30            19.43
               30               30            95.35
               31               30            28.80
               32               30            16.68
               33               30            21.42
               34               30            44.06
               35               30            93.68
               36               30            37.78
               37               30            87.47
               38               30             7.45
               39               30            12.55
