! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021_Public_3.18.24.xlsm
swp_3pattern_SLRule_new
month            percent          demand           remainDemand
                7               30            213.7           3603.6
                8               30            277.4           3390.0
                9               30            427.4           3112.6
               10               30            484.6           2685.1
               11               30            494.8           2200.6
               12               30            424.2           1705.8
                1               30            458.9           1281.6
                2               30            403.4            822.7
                3               30            419.3            419.3
                7               50            198.6           3605.2
                8               50            287.3           3406.5
                9               50            459.6           3119.2
               10               50            540.5           2659.6
               11               50            522.5           2119.2
               12               50            474.5           1596.7
                1               50            415.8           1122.2
                2               50            363.7            706.4
                3               50            342.6            342.6
                7               60            188.5           3510.6
                8               60            310.8           3322.1
                9               60            417.4           3011.2
               10               60            520.6           2593.8
               11               60            540.9           2073.3
               12               60            448.2           1532.4
                1               60            400.2           1084.1
                2               60            355.5            684.0
                3               60            328.5            328.5
                7              100            208.7           3023.9
                8              100            270.6           2815.2
                9              100            350.9           2544.6
               10              100            423.4           2193.7
               11              100            427.4           1770.2
               12              100            388.0           1342.9
                1              100            352.3            954.9
                2              100            305.1            602.6
                3              100            297.5            297.5
