! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021_Public_3.18.24.xlsm
swp_carryover
contractor       percent          carryover
                1              100            10.00
                2              100            16.32
                3              100            45.82
                4              100             0.00
                5              100             4.80
                6              100            69.18
                7              100             0.00
                8              100             0.00
                9              100             2.90
               10              100            27.88
               11              100             4.78
               12              100             0.58
               13              100           145.97
               14              100             0.00
               15              100           200.00
               16              100            38.45
               17              100            11.54
               18              100             2.76
               19              100             9.52
               20              100            12.42
               21              100             0.00
               22              100             5.99
               23              100            12.50
               24              100            16.75
               25              100            36.38
               26              100            23.88
               27              100             0.00
               28              100             0.00
               29              100             0.00
               30              100            41.82
                1               60             8.49
                2               60            10.32
                3               60            28.01
                4               60             0.00
                5               60             3.06
                6               60            48.42
                7               60             0.00
                8               60             0.00
                9               60             1.23
               10               60            19.51
               11               60             3.12
               12               60             0.20
               13               60            81.20
               14               60             0.00
               15               60           114.30
               16               60            24.67
               17               60             4.42
               18               60             1.35
               19               60             2.78
               20               60            12.51
               21               60             0.00
               22               60             1.73
               23               60             8.75
               24               60            10.64
               25               60            14.35
               26               60            15.80
               27               60             0.00
               28               60             0.00
               29               60             0.00
               30               60            12.27
                1               50             7.80
                2               50             7.22
                3               50            21.62
                4               50             4.06
                5               50             1.20
                6               50            34.59
                7               50             0.00
                8               50             0.00
                9               50             0.65
               10               50            13.94
               11               50             2.23
               12               50             0.13
               13               50            53.34
               14               50             0.00
               15               50           100.00
               16               50            18.00
               17               50             1.59
               18               50             0.88
               19               50             2.14
               20               50             9.36
               21               50             0.00
               22               50             0.70
               23               50             6.25
               24               50             9.23
               25               50             9.36
               26               50            11.93
               27               50             0.00
               28               50             0.00
               29               50             0.00
               30               50             4.06
                1               30             6.91
                2               30             8.13
                3               30            15.68
                4               30             7.47
                5               30             0.00
                6               30            34.59
                7               30             0.00
                8               30             0.00
                9               30             0.00
               10               30            11.15
               11               30             3.93
               12               30             0.20
               13               30            37.90
               14               30             0.00
               15               30            95.23
               16               30            11.02
               17               30             5.30
               18               30             0.64
               19               30             1.87
               20               30             7.25
               21               30             0.00
               22               30             0.63
               23               30             3.58
               24               30             1.43
               25               30             6.32
               26               30             9.97
               27               30             0.00
               28               30             0.00
               29               30             0.00
               30               30             0.00
