! DESCRIPTION: Limits on SWP pumping facilities which reflect updated scheduled and forced Operational Availability.
! LAST_UPDATED: 20240206
! LAST_UPDATED_BY: Chris Quan (DWR)
! SOURCE: Plant OA Summary for CalSim Scenarios.xlsx using 1) RECOMMENDED MODELING PERIOD FOR CURRENT OA
!
! D419	C825	D_CAA185_CSB001	C_CAA245	C_CAA278	C_CAA280	C_CAA293	C_ESB361	C_ESB406	C_WSB001
!	C838
! BA	DA	LP	BV	TR	CH	ED	PB	MJ	OS
! 1	2	3	4	5	6	7	8	9	10
!
swp_limits
Plant	Month	Data
1	1	8369.5
1	2	8367.0
1	3	9247.2
1	4	9071.6
1	5	9104.1
1	6	9027.6
1	7	8294.8
1	8	7769.7
1	9	8583.8
1	10	8930.6
1	11	8808.8
1	12	9000.9
2	1	11986.2
2	2	12230.1
2	3	12644.9
2	4	12953.2
2	5	11857.8
2	6	11768.6
2	7	11745.3
2	8	12473.9
2	9	12468.5
2	10	12859.1
2	11	12843.2
2	12	12789.1
3	1	439.6
3	2	415.0
3	3	444.5
3	4	450.8
3	5	456.1
3	6	455.2
3	7	459.3
3	8	454.3
3	9	454.8
3	10	453.7
3	11	456.5
3	12	453.4
4	1	4662.0
4	2	4718.0
4	3	4813.3
4	4	4357.5
4	5	4272.2
4	6	4858.6
4	7	5043.8
4	8	4733.4
4	9	4840.8
4	10	4731.5
4	11	4705.5
4	12	4746.5
5	1	4167.8
5	2	4383.4
5	3	4689.4
5	4	4095.6
5	5	4190.5
5	6	4266.6
5	7	4259.0
5	8	4423.3
5	9	4506.6
5	10	4767.2
5	11	4623.8
5	12	4652.4
6	1	3566.2
6	2	3864.6
6	3	4133.2
6	4	3862.2
6	5	3942.5
6	6	4026.1
6	7	3819.9
6	8	3856.7
6	9	3777.5
6	10	4000.1
6	11	3788.3
6	12	3999.9
7	1	3965.8
7	2	3912.3
7	3	4052.2
7	4	3437.3
7	5	3612.6
7	6	3823.1
7	7	4087.0
7	8	3929.4
7	9	3936.2
7	10	3999.1
7	11	4024.4
7	12	4084.0
8	1	2035.6
8	2	2024.8
8	3	2205.6
8	4	2116.6
8	5	1994.5
8	6	2044.8
8	7	2159.2
8	8	2281.2
8	9	2186.5
8	10	2242.2
8	11	2189.6
8	12	2154.4
9	1	2371.7
9	2	2656.1
9	3	1500.0
9	4	1500.0
9	5	1500.0
9	6	1500.0
9	7	1500.0
9	8	2289.6
9	9	2569.1
9	10	2856.8
9	11	2675.2
9	12	2396.3
10	1	2932.0
10	2	2926.0
10	3	3024.8
10	4	2963.3
10	5	2856.2
10	6	2750.4
10	7	2578.7
10	8	2926.4
10	9	2866.8
10	10	2779.9
10	11	2694.4
10	12	2402.1
11	1	14200.0
11	2	14200.0
11	3	14200.0
11	4	14200.0
11	5	14200.0
11	6	14200.0
11	7	14200.0
11	8	14200.0
11	9	14200.0
11	10	14200.0
11	11	14200.0
11	12	14200.0





































































































































