wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3905.08924854
1000.0        3905.08924854
1500.0        3905.08924854
2000.0        3905.08924854
2500.0        3905.08924854
3000.0        3905.08924854
3500.0        3905.08924854
4000.0        3905.08924854
4500.0        3905.08924854
5000.0        3987.8523261
5500.0        4465.30176561
6000.0        4764.42199885
6500.0        5450.36227017
7000.0        6347.29487965
7500.0        6965.94787117
8000.0        7510.97035196
8500.0        8037.12682335
9000.0        8454.69991853
9500.0        8917.9859913
10000.0        9794.16006661
10500.0        10766.3090911
11000.0        11268.4356012
11500.0        11574.3212637
12000.0        11945.2451174
12500.0        12135.1843169
13000.0        12135.1843169
13500.0        12191.1421464
14000.0        12282.2078206
14500.0        12282.2078206
15000.0        12282.2078206
15500.0        12282.2078206
16000.0        12282.2078206
16500.0        12282.2078206
17000.0        12282.2078206
17500.0        12282.2078206
18000.0        12282.2078206
18500.0        12282.2078206
19000.0        12282.2078206
19500.0        12282.2078206
20000.0        12282.2078206
