wsi_di_SWP
wsi                   di
0.0        0.0
500.0        490.500400463
1000.0        490.500400463
1500.0        490.500400463
2000.0        713.549411888
2500.0        1249.85959071
3000.0        1996.14170017
3500.0        2747.93723034
4000.0        3598.77475156
4500.0        4618.97068172
5000.0        5403.84521297
5500.0        6484.35563053
6000.0        7254.13600971
6500.0        7733.71024589
7000.0        8014.09790444
7500.0        8014.09790444
8000.0        8240.9984985
8500.0        8240.9984985
9000.0        8240.9984985
9500.0        8240.9984985
10000.0        8240.9984985
10500.0        8240.9984985
11000.0        8240.9984985
11500.0        8240.9984985
12000.0        8240.9984985
12500.0        8240.9984985
13000.0        8240.9984985
13500.0        8240.9984985
14000.0        8240.9984985
14500.0        8240.9984985
15000.0        8240.9984985
15500.0        8240.9984985
16000.0        8240.9984985
16500.0        8240.9984985
17000.0        8240.9984985
17500.0        8240.9984985
18000.0        8240.9984985
18500.0        8240.9984985
19000.0        8240.9984985
19500.0        8240.9984985
20000.0        8240.9984985
