wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3906.54858218
1000.0        3906.54858218
1500.0        3906.54858218
2000.0        3906.54858218
2500.0        3906.54858218
3000.0        3906.54858218
3500.0        3906.54858218
4000.0        3906.54858218
4500.0        3906.54858218
5000.0        3965.61441892
5500.0        4455.61043552
6000.0        4764.01371521
6500.0        5447.54996698
7000.0        6345.18887169
7500.0        6961.47397687
8000.0        7506.92327206
8500.0        8035.52792747
9000.0        8458.12574745
9500.0        8921.95187488
10000.0        9799.3517761
10500.0        10768.7709801
11000.0        11269.0064481
11500.0        11573.4394432
12000.0        11944.5715044
12500.0        12134.9941143
13000.0        12134.9941143
13500.0        12191.3033076
14000.0        12282.3996437
14500.0        12282.3996437
15000.0        12282.3996437
15500.0        12282.3996437
16000.0        12282.3996437
16500.0        12282.3996437
17000.0        12282.3996437
17500.0        12282.3996437
18000.0        12282.3996437
18500.0        12282.3996437
19000.0        12282.3996437
19500.0        12282.3996437
20000.0        12282.3996437
