wsi_di_SWP
wsi                   di
0.0        0.0
500.0        377.169051866
1000.0        377.169051866
1500.0        433.519404137
2000.0        787.678246154
2500.0        1340.3183483
3000.0        2259.8438412
3500.0        2858.45702428
4000.0        3710.36026413
4500.0        4573.69047653
5000.0        5291.04286439
5500.0        6384.15490034
6000.0        7168.37127693
6500.0        7681.2645164
7000.0        8019.18779853
7500.0        8019.18779853
8000.0        8225.76488563
8500.0        8225.76488563
9000.0        8225.76488563
9500.0        8225.76488563
10000.0        8225.76488563
10500.0        8225.76488563
11000.0        8225.76488563
11500.0        8225.76488563
12000.0        8225.76488563
12500.0        8225.76488563
13000.0        8225.76488563
13500.0        8225.76488563
14000.0        8225.76488563
14500.0        8225.76488563
15000.0        8225.76488563
15500.0        8225.76488563
16000.0        8225.76488563
16500.0        8225.76488563
17000.0        8225.76488563
17500.0        8225.76488563
18000.0        8225.76488563
18500.0        8225.76488563
19000.0        8225.76488563
19500.0        8225.76488563
20000.0        8225.76488563
